,value,object_id,create_time,disk_index
0,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 17:00:00,0
1,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 17:00:00,1
2,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 17:00:00,3
3,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 18:00:00,0
4,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 18:00:00,1
5,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 18:00:00,3
6,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 19:00:00,1
7,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 19:00:00,3
8,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 19:00:00,0
9,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 20:00:00,0
10,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 20:00:00,1
11,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 20:00:00,3
12,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 21:00:00,0
13,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 21:00:00,1
14,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 21:00:00,3
15,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 22:00:00,0
16,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 22:00:00,1
17,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 22:00:00,3
18,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 23:00:00,0
19,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 23:00:00,1
20,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 23:00:00,3
21,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 00:00:00,0
22,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 00:00:00,1
23,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 00:00:00,3
24,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 01:00:00,0
25,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 01:00:00,1
26,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 01:00:00,3
27,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 02:00:00,0
28,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 02:00:00,1
29,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 02:00:00,3
30,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 03:00:00,1
31,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 03:00:00,3
32,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 03:00:00,0
33,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 04:00:00,0
34,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 04:00:00,1
35,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 04:00:00,3
36,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 05:00:00,0
37,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 05:00:00,1
38,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 05:00:00,3
39,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 06:00:00,0
40,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 06:00:00,1
41,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 06:00:00,3
42,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 07:00:00,0
43,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 07:00:00,1
44,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 07:00:00,3
45,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 08:00:00,0
46,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 08:00:00,1
47,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 08:00:00,3
48,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 09:00:00,0
49,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 09:00:00,1
50,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 09:00:00,3
51,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 10:00:00,0
52,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 10:00:00,1
53,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 10:00:00,3
54,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 11:00:00,0
55,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 11:00:00,1
56,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 11:00:00,3
57,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 12:00:00,0
58,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 12:00:00,1
59,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 12:00:00,3
60,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 13:00:00,0
61,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 13:00:00,1
62,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 13:00:00,3
63,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 14:00:00,0
64,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 14:00:00,1
65,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 14:00:00,3
66,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 15:00:00,0
67,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 15:00:00,1
68,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 15:00:00,3
69,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 16:00:00,0
70,0.0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 16:00:00,1
